attribute_set_code,type,category_ids,name,brands,description,Weight,sku,size,color,price,qty,Size,is_in_stock
Default,simple,"3, 77",Merino Honeycomb Socks,Dimples,"This sweet honeycomb design is the perfect detail to add to any outifit while keeping delicate feet toasty and warm. Made from New Zealand merino they can be used all year round as they naturally resist bacteria, stains and odour, keeping little feet safe and healthy. Dimples socks are long, stretchy and are sure to stay in place!",0,TEST1-2-4yr,2-4yr,Cream,16.5,6,,1
Default,simple,"3, 77",Merino Honeycomb Socks,Dimples,"This sweet honeycomb design is the perfect detail to add to any outifit while keeping delicate feet toasty and warm. Made from New Zealand merino they can be used all year round as they naturally resist bacteria, stains and odour, keeping little feet safe and healthy. Dimples socks are long, stretchy and are sure to stay in place!",0,TEST1-NB-6mth,NB-6mth,Cream,16.5,29,,1
Default,simple,"3, 77",Merino Honeycomb Socks,Dimples,"This sweet honeycomb design is the perfect detail to add to any outifit while keeping delicate feet toasty and warm. Made from New Zealand merino they can be used all year round as they naturally resist bacteria, stains and odour, keeping little feet safe and healthy. Dimples socks are long, stretchy and are sure to stay in place!",0,TEST1-1-2yr,1-2yr,Cream,16.5,11,,1
Default,simple,"3, 77",Merino Honeycomb Socks,Dimples,"This sweet honeycomb design is the perfect detail to add to any outifit while keeping delicate feet toasty and warm. Made from New Zealand merino they can be used all year round as they naturally resist bacteria, stains and odour, keeping little feet safe and healthy. Dimples socks are long, stretchy and are sure to stay in place!",0,TEST1-6-12mth,6-12mth,Cream,16.5,20,,1
Default,simple,"3, 77",Merino/Cotton Helmet,Dimples,"Trust Dimples to care for your precious Little Me. It is the perfect collection for babies that are sensitive to merino. The 55% Cotton inner is delicate and gentle on the skin, while the 45% Merino outer doesn’t touch and irritate sensitive skin and babies with skin conditions like eczema, while still ensuring your baby keeps your baby snug and warm all year round. The unique pattern gives this collect an old world look and feel that will be loved by everyone.

This helmet is bringing back the old-world style which will be loved for generations to come. It has a unique shape that prevents it from falling off your baby’s head, while the drop sides keep their ears toasty warm. This is particularly important for newborn and young babies.
",0,TEST2-M,M,Cream Bee,39.99,4,,1
Default,simple,"3, 77",Merino/Cotton Helmet,Dimples,"Trust Dimples to care for your precious Little Me. It is the perfect collection for babies that are sensitive to merino. The 55% Cotton inner is delicate and gentle on the skin, while the 45% Merino outer doesn’t touch and irritate sensitive skin and babies with skin conditions like eczema, while still ensuring your baby keeps your baby snug and warm all year round. The unique pattern gives this collect an old world look and feel that will be loved by everyone.

This helmet is bringing back the old-world style which will be loved for generations to come. It has a unique shape that prevents it from falling off your baby’s head, while the drop sides keep their ears toasty warm. This is particularly important for newborn and young babies.
",0,TEST2-NB,NB,Cream Bee,39.99,7,,1
Default,simple,"3, 77",Merino/Cotton Helmet,Dimples,"Trust Dimples to care for your precious Little Me. It is the perfect collection for babies that are sensitive to merino. The 55% Cotton inner is delicate and gentle on the skin, while the 45% Merino outer doesn’t touch and irritate sensitive skin and babies with skin conditions like eczema, while still ensuring your baby keeps your baby snug and warm all year round. The unique pattern gives this collect an old world look and feel that will be loved by everyone.

This helmet is bringing back the old-world style which will be loved for generations to come. It has a unique shape that prevents it from falling off your baby’s head, while the drop sides keep their ears toasty warm. This is particularly important for newborn and young babies.
",0,TEST2-S,S,Cream Bee,39.99,6,,1
Default,simple,"3, 77",Merino Beanie,Dimples,"Welcome your baby into the world dressed in Dimples pure, soft and natural Classic Merino Collection. The timeless designs provide warmth all year round, and have been created with the comfort and safety needs that all babies deserve. Baby will look gorgeous in those first photos, and with Dimples signature hand embroidery, this collection is the perfect addition to any baby’s wardrobe. It is the perfect gift for a precious Newborn baby.

These Beanies are comfortable and provide that important warmth for the head, which is particularly important for newborn and young babies. These Beanies stay on the head and do not ride up or slip off, a design that has been tested and proven over the years. Just ask anyone who has had a Dimples Beanie!",0,TEST3-White Silver,NB,White Silver,42.5,4,,1
Default,simple,"3, 77",Merino Beanie,Dimples,"Welcome your baby into the world dressed in Dimples pure, soft and natural Classic Merino Collection. The timeless designs provide warmth all year round, and have been created with the comfort and safety needs that all babies deserve. Baby will look gorgeous in those first photos, and with Dimples signature hand embroidery, this collection is the perfect addition to any baby’s wardrobe. It is the perfect gift for a precious Newborn baby.

These Beanies are comfortable and provide that important warmth for the head, which is particularly important for newborn and young babies. These Beanies stay on the head and do not ride up or slip off, a design that has been tested and proven over the years. Just ask anyone who has had a Dimples Beanie!",0,TEST3-White Bee,NB,White Bee,42.5,4,,1
Default,simple,"3, 77",Merino Beanie,Dimples,"Welcome your baby into the world dressed in Dimples pure, soft and natural Classic Merino Collection. The timeless designs provide warmth all year round, and have been created with the comfort and safety needs that all babies deserve. Baby will look gorgeous in those first photos, and with Dimples signature hand embroidery, this collection is the perfect addition to any baby’s wardrobe. It is the perfect gift for a precious Newborn baby.

These Beanies are comfortable and provide that important warmth for the head, which is particularly important for newborn and young babies. These Beanies stay on the head and do not ride up or slip off, a design that has been tested and proven over the years. Just ask anyone who has had a Dimples Beanie!",0,TEST3-Grey,NB,Grey,42.5,2,,1
